Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,44.783001,46.202400,43.003700,43.433498,38.928368,8428600
2019-09-16,43.493500,44.533100,40.054798,40.074799,35.918049,25046111
2019-09-23,40.284698,41.264301,38.445400,40.174702,36.007587,18759224
2019-09-30,40.384701,40.544601,37.035900,38.835201,34.807030,17135807
2019-10-07,38.255501,38.605301,34.696800,34.786800,31.178545,25538899
2019-10-14,34.586899,38.385399,34.257000,38.175499,34.215752,30979966
2019-10-21,38.325401,38.745300,36.506100,37.425800,33.543819,22526054
2019-10-28,37.285801,41.134399,36.626099,39.714901,35.595482,24164176
2019-11-04,40.334702,43.033600,37.945599,38.205502,34.242641,26805180
2019-11-11,38.415401,39.135101,35.556499,35.786400,32.074459,20253792
2019-11-18,36.180000,36.330002,34.590000,35.459999,31.781916,15260400
2019-11-25,35.470001,35.470001,34.139999,34.830002,31.217266,13890200
2019-12-02,35.150002,36.419998,34.650002,35.820000,32.104576,18067600
2019-12-09,35.849998,36.340000,35.509998,35.959999,32.230057,18020500
2019-12-16,35.939999,36.500000,34.169998,35.980000,32.247982,34798300
2019-12-23,35.980000,38.500000,35.880001,37.740002,33.825428,13662100
2019-12-30,37.740002,38.290001,37.169998,37.599998,33.699944,9760400
2020-01-06,37.369999,40.400002,36.799999,40.099998,35.940632,23910300
2020-01-13,40.099998,40.740002,38.200001,40.250000,36.075077,21973900
2020-01-20,40.240002,42.470001,39.310001,40.750000,36.523212,21774400
2020-01-27,40.480000,41.270000,38.150002,39.220001,35.151913,26456800
2020-02-03,39.119999,39.779999,35.610001,35.669998,31.970133,25078900
2020-02-10,35.849998,36.349998,34.020000,35.990002,32.256947,28730800
2020-02-17,36.240002,39.480000,35.950001,37.660000,33.753723,22314100
2020-02-24,37.660000,37.660000,32.110001,34.529999,30.948381,21755200
2020-03-02,34.840000,36.500000,31.559999,32.349998,28.994501,23820100
2020-03-09,29.510000,32.360001,21.160000,28.070000,25.158445,42525800
2020-03-16,22.990000,25.299999,16.260000,16.809999,15.066386,51640600
2020-03-23,16.750000,22.090000,14.800000,21.080000,18.893480,34916200
2020-03-30,22.000000,25.500000,20.420000,21.670000,19.422285,33538700
2020-04-06,23.000000,26.600000,21.440001,25.260000,22.639912,27370700
2020-04-13,25.030001,28.570000,24.299999,25.950001,23.258343,28351000
2020-04-20,25.440001,27.450001,20.280001,21.780001,19.520876,32780600
2020-04-27,22.709999,25.170000,21.900000,24.250000,21.734674,25430800
2020-05-04,23.059999,23.670000,21.190001,22.219999,19.915236,24242700
2020-05-11,21.770000,23.150000,19.540001,22.650000,21.725897,32085500
2020-05-18,23.510000,25.430000,22.840000,25.410000,24.373291,28887900
2020-05-25,26.600000,29.549999,26.000000,27.969999,26.828844,39876900
2020-06-01,28.629999,30.770000,28.209999,29.610001,28.401934,24465100
2020-06-08,29.809999,32.310001,28.670000,29.940001,28.718472,18274900
2020-06-15,29.389999,32.180000,28.430000,30.790001,29.533792,34665800
2020-06-22,30.809999,31.350000,29.139999,30.280001,29.044600,19880900
2020-06-29,30.480000,33.389999,30.350000,32.590000,31.260353,20643800
2020-07-06,34.000000,38.320000,32.770000,36.270000,34.790211,39739000
2020-07-13,36.549999,40.930000,34.520000,40.400002,38.751713,34990900
2020-07-20,40.400002,41.330002,37.520000,38.099998,36.545547,23770900
2020-07-27,38.110001,39.970001,36.720001,36.939999,35.432873,17769100
2020-08-03,37.360001,39.500000,36.119999,37.660000,37.660000,25919500
2020-08-10,37.660000,37.939999,32.570000,34.080002,34.080002,44643600
2020-08-17,34.180000,35.180000,30.600000,34.070000,34.070000,47578300
2020-08-24,34.500000,39.400002,34.340000,37.490002,37.490002,63729000
2020-08-31,37.080002,38.500000,35.509998,36.450001,36.450001,29462200
2020-09-07,36.450001,37.830002,34.799999,35.099998,35.099998,14521900
2020-09-11,35.400002,35.480000,33.919998,34.400002,34.400002,6221100
