Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,13.030000,13.370000,12.880000,13.160000,12.779599,79588800
2019-09-16,13.140000,13.360000,12.930000,13.240000,12.857287,115365700
2019-09-23,13.160000,13.440000,12.950000,13.390000,13.002951,67253200
2019-09-30,13.390000,13.440000,12.330000,12.510000,12.148387,99769100
2019-10-07,12.510000,12.770000,12.110000,12.700000,12.332897,83057600
2019-10-14,12.690000,13.260000,12.640000,13.070000,12.692202,77816700
2019-10-21,13.070000,13.850000,13.010000,13.790000,13.391390,83650200
2019-10-28,13.730000,13.990000,13.580000,13.760000,13.362256,77913800
2019-11-04,13.800000,14.250000,13.650000,13.760000,13.362256,90611200
2019-11-11,13.750000,13.890000,13.390000,13.630000,13.236013,65765700
2019-11-18,13.730000,13.820000,13.350000,13.710000,13.313703,63812800
2019-11-25,13.720000,13.740000,13.000000,13.270000,12.886420,100718000
2019-12-02,13.310000,13.800000,13.260000,13.460000,13.070928,75413300
2019-12-09,13.520000,13.800000,13.480000,13.700000,13.324071,97692800
2019-12-16,13.740000,13.980000,13.570000,13.850000,13.475850,123055600
2019-12-23,13.890000,14.260000,13.840000,14.130000,13.748287,30265400
2019-12-30,14.130000,14.380000,14.010000,14.140000,13.758018,52538500
2020-01-06,14.120000,14.210000,13.280000,13.350000,12.989360,110845500
2020-01-13,13.470000,13.680000,13.370000,13.600000,13.232606,82581500
2020-01-20,13.590000,13.630000,13.100000,13.350000,12.989360,82099600
2020-01-27,13.200000,13.250000,12.720000,12.860000,12.512594,91446200
2020-02-03,12.880000,13.190000,12.740000,12.790000,12.444489,87657000
2020-02-10,12.850000,13.510000,12.750000,13.000000,12.648814,107379200
2020-02-17,13.100000,13.470000,12.570000,12.810000,12.463948,173279400
2020-02-24,12.810000,12.810000,11.700000,12.010000,11.888333,132874100
2020-03-02,12.060000,12.390000,11.420000,11.560000,11.442891,133395000
2020-03-09,10.950000,11.570000,9.070000,10.200000,10.113510,248982800
2020-03-16,9.150000,9.910000,8.280000,8.310000,8.239537,285611400
2020-03-23,8.400000,9.110000,7.440000,8.500000,8.427925,220506500
2020-03-30,8.570000,8.990000,7.910000,8.110000,8.041231,165553700
2020-04-06,8.520000,9.600000,8.500000,9.240000,9.161652,124046700
2020-04-13,9.210000,9.880000,8.960000,9.140000,9.062499,119979500
2020-04-20,8.960000,9.150000,8.160000,8.400000,8.328773,140156300
2020-04-27,8.690000,9.530000,8.530000,9.000000,8.923686,124483300
2020-05-04,8.700000,9.080000,8.240000,8.490000,8.418010,178443100
2020-05-11,8.480000,8.700000,7.840000,8.140000,8.070979,198109400
2020-05-18,8.430000,9.020000,8.200000,8.860000,8.784872,188618500
2020-05-25,9.180000,9.430000,8.780000,8.860000,8.784872,172599400
2020-06-01,8.840000,10.590000,8.760000,10.040000,9.954867,215048000
2020-06-08,10.170000,10.520000,9.550000,9.790000,9.728949,148120900
2020-06-15,9.460000,10.470000,9.410000,10.410000,10.345082,151011200
2020-06-22,10.370000,10.400000,9.590000,9.660000,9.599759,162676000
2020-06-29,9.740000,10.190000,9.580000,9.970000,9.907827,149769400
2020-07-06,10.180000,10.390000,9.970000,10.230000,10.166205,130485300
2020-07-13,10.250000,10.350000,9.950000,10.270000,10.205956,94706400
2020-07-20,10.300000,10.740000,10.220000,10.450000,10.384833,193108200
2020-07-27,10.470000,11.160000,10.440000,10.670000,10.603460,167929500
2020-08-03,10.730000,10.900000,10.060000,10.210000,10.146330,182774500
2020-08-10,10.250000,10.470000,9.840000,9.930000,9.868076,131225000
2020-08-17,9.890000,9.910000,9.520000,9.730000,9.669322,142985400
2020-08-24,9.780000,9.970000,9.470000,9.780000,9.739239,108539500
2020-08-31,9.730000,10.030000,9.430000,9.770000,9.749279,152424200
2020-09-07,9.770000,9.780000,9.430000,9.460000,9.460000,66092700
2020-09-11,9.480000,9.490000,9.220000,9.270000,9.270000,25240800
