Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,23.100000,23.830000,22.709999,23.719999,23.489100,9861500
2019-09-16,23.730000,24.400000,23.049999,24.400000,24.162476,14585600
2019-09-23,24.100000,24.520000,23.830000,24.129999,23.895103,9764200
2019-09-30,24.230000,24.540001,23.420000,23.610001,23.419409,10354300
2019-10-07,23.510000,23.870001,22.629999,23.670000,23.478922,13175300
2019-10-14,23.760000,24.570000,23.500000,24.360001,24.163353,11866200
2019-10-21,24.270000,26.590000,24.059999,25.410000,25.204876,23459900
2019-10-28,25.540001,26.360001,25.400000,25.879999,25.671080,15600100
2019-11-04,26.080000,28.969999,26.010000,28.240000,28.012030,18645900
2019-11-11,28.240000,29.680000,27.799999,29.260000,29.023798,21149100
2019-11-18,29.500000,29.650000,28.620001,29.059999,28.825411,15924800
2019-11-25,29.070000,30.420000,28.500000,30.420000,30.174435,21533600
2019-12-02,30.420000,33.049999,30.129999,32.740002,32.475704,21547100
2019-12-09,32.580002,34.279999,31.610001,34.049999,33.775127,24619100
2019-12-16,34.110001,34.380001,33.119999,33.889999,33.616421,25450400
2019-12-23,34.000000,35.340000,33.389999,35.340000,35.054718,11318000
2019-12-30,35.400002,35.480000,34.660000,34.790001,34.548134,9530000
2020-01-06,34.700001,35.220001,33.220001,34.000000,33.763622,18475400
2020-01-13,34.080002,36.880001,34.009998,36.799999,36.544155,22823600
2020-01-20,36.799999,41.459999,36.639999,41.430000,41.141968,17323700
2020-01-27,40.799999,44.279999,39.240002,39.410000,39.136009,36062000
2020-02-03,39.799999,43.580002,39.669998,41.099998,40.814259,27559700
2020-02-10,41.080002,47.500000,40.320000,45.570000,45.253189,28188000
2020-02-17,45.650002,50.130001,44.500000,49.799999,49.453781,49392300
2020-02-24,49.799999,49.799999,41.650002,43.150002,42.850014,35151500
2020-03-02,43.900002,49.799999,43.259998,44.020000,43.861721,41648900
2020-03-09,40.009998,43.150002,31.900000,34.529999,34.405842,43443500
2020-03-16,31.680000,35.000000,25.110001,32.369999,32.253609,62464700
2020-03-23,33.900002,40.200001,31.459999,35.360001,35.232861,55106800
2020-03-30,35.610001,37.270000,31.420000,32.889999,32.802380,32759100
2020-04-06,35.090000,41.400002,32.700001,38.299999,38.197964,27842100
2020-04-13,38.139999,40.480000,37.599998,38.459999,38.357540,29285000
2020-04-20,37.680000,41.950001,35.250000,38.709999,38.606873,27849000
2020-04-27,39.320000,44.049999,38.830002,39.939999,39.833595,28230000
2020-05-04,38.980000,40.889999,37.700001,38.240002,38.138126,30353800
2020-05-11,38.310001,39.380001,36.000000,36.410000,36.313000,26509700
2020-05-18,37.389999,38.669998,36.330002,37.240002,37.140793,25295500
2020-05-25,38.110001,41.830002,37.619999,41.830002,41.718563,29304700
2020-06-01,41.889999,45.430000,41.270000,44.330002,44.211903,25374800
2020-06-08,44.889999,46.639999,42.700001,44.250000,44.132114,19906200
2020-06-15,43.000000,47.000000,43.000000,46.209999,46.086891,24167100
2020-06-22,46.299999,51.169998,45.230000,50.000000,49.866798,25857600
2020-06-29,50.410000,54.270000,49.209999,54.000000,53.856140,21561200
2020-07-06,55.000000,55.220001,52.150002,54.700001,54.596027,21578600
2020-07-13,54.799999,58.459999,53.669998,58.090000,57.979584,26461900
2020-07-20,58.400002,69.800003,58.200001,66.709999,66.583199,44547800
2020-07-27,67.809998,71.019997,64.599998,67.349998,67.221977,28750900
2020-08-03,67.360001,70.190002,65.500000,68.449997,68.449997,26085400
2020-08-10,68.540001,70.919998,66.110001,69.169998,69.169998,24252500
2020-08-17,68.989998,69.589996,64.209999,67.599998,67.599998,27467900
2020-08-24,67.760002,68.739998,65.519997,67.190002,67.190002,24547700
2020-08-31,67.120003,68.129997,61.869999,64.489998,64.489998,31551300
2020-09-07,64.489998,65.470001,62.419998,62.419998,62.419998,13780400
2020-09-11,63.070000,64.419998,61.630001,62.090000,62.090000,7218900
